english,chinese,author
"The impediment to action advances action. What stands in the way becomes the way.","行动的障碍推动行动。阻挡道路的，就是道路。","Marcus Aurelius"
"You have power over your mind - not outside events. Realize this, and you will find strength.","你能控制的是你的内心，而不是外在事件。认清这一点，你就会找到力量。","Marcus Aurelius"
"Waste no more time arguing what a good man should be. Be one.","不要再浪费时间争论一个好人应该是什么样了。去做一个好人。","Marcus Aurelius"
"He who fears death will never do anything worthy of a man who is alive.","害怕死亡的人，永远做不出哪怕一件真正活着的人该做的事。","Seneca"
"No person has the power to have everything they want, but it is in their power not to want what they don’t have.","没有人能拥有他们想要的一切，但他们有能力不去渴望他们没有的东西。","Seneca"
"First say to yourself what you would be; and then do what you have to do.","首先问自己想成为什么样的人，然后去做你该做的事。","Epictetus"
"It’s not what happens to you, but how you react to it that matters.","重要的不是发生了什么，而是你如何应对。","Epictetus"
"Wealth consists not in having great possessions, but in having few wants.","财富不在于拥有很多，而在于渴望很少。","Epictetus"
"Man is not worried by real problems so much as by his imagined anxieties about real problems.","让人烦恼的往往不是真正的问题，而是对问题的想象与焦虑。","Epictetus"
"If it is not right do not do it; if it is not true do not say it.","如果不正确，就不要做；如果不真实，就不要说。","Marcus Aurelius"
